User ID,Friends
1,20,15,18,6,5,8,29,28,2,3
2,9,6,3,20,25,8,22,27,1,18
3,20,15,23,1,22,11,26,29,10,25
4,15,29,18,6,11,27,14,17,1,16
5,13,9,1,12,27,19,3,11,17,15
6,22,17,28,2,19,20,15,16,18,14
7,19,8,13,29,3,27,20,26,18,5
8,12,30,2,24,28,29,14,3,1,25
9,5,20,14,17,28,15,2,23,19,6
10,29,8,18,20,11,30,14,3,16,28
11,24,21,17,7,30,16,25,14,26,29
12,23,25,15,27,30,8,3,13,1,6
13,8,26,14,9,24,20,3,30,11,29
14,7,11,13,2,20,9,19,26,28,25
15,6,29,3,23,30,21,18,17,13,25
16,9,11,7,27,2,15,18,28,10,21
17,15,6,30,22,14,21,25,18,16,29
18,16,6,17,4,29,10,15,28,2,12
19,13,2,16,24,8,21,26,11,29,18
20,1,8,16,11,25,2,4,27,6,7
21,23,1,19,6,16,3,9,13,8,24
22,11,27,4,2,19,30,9,6,21,12
23,6,10,27,3,28,16,8,13,30,19
24,5,6,18,22,2,7,4,13,16,14
25,2,16,4,20,15,11,18,26,23,1
26,2,23,27,28,13,6,21,16,14,5
27,28,16,23,24,1,3,2,30,11,14
28,30,24,27,2,14,6,8,9,20,29
29,20,24,14,27,17,16,2,19,9,8
30,3,2,11,18,21,19,1,4,7,16
